L1,L2,L3,V6_Account_Count,V7_Account_Count,V7_Pct_of_Total,Pct_of_Total,description,examples,disambiguation_notes
Manufacturing & Distribution,Industrial Manufacturing,Industrial Equipment Manufacturing,151,162,3.4%,3.9%,"Manufactures industrial equipment, machinery, hydraulic/pneumatic systems, compressors, pumps","CNC machines, hydraulic presses, industrial conveyors, pumps, compressors",Must have own factory/brand. If also installs → still MWD if primary activity is manufacturing. Includes farm equipment manufacturers. Excludes chemical/adhesive products (→ Chemical & Process Manufacturing).
Manufacturing & Distribution,Industrial Manufacturing,Metal Fabrication & Structural,28,35,0.7%,0.7%,"Fabricates metal products in a shop/factory: custom metalwork, structural steel, welding, machined metal parts","Welding shops, steel fabricators, structural steel, metal stamping, sheet metal",Shop-based fabrication. If primarily on-site/mobile welding → S&T > Industrial & Commercial Field Services > Welding & Fabrication Services
Manufacturing & Distribution,Industrial Manufacturing,Precision Parts & Components,36,50,1.0%,0.9%,"Makes precision parts, specialty components, instruments, optics","Fuel injectors, cutting tools, precision instruments, specialty hardware, optics, bearings",Focus on high-precision or specialty parts vs general metal fab
Manufacturing & Distribution,Industrial Manufacturing,Safety & Security Equipment,21,28,0.6%,0.5%,Manufactures safety and security products,"Fire extinguishers, safety harnesses, PPE, locks, safes, surveillance cameras",If installs/services security systems → Services & Trades > Security & Alarm Systems
Manufacturing & Distribution,Industrial Manufacturing,Chemical & Process Manufacturing,0,37,0.8%,0.0%,"Manufactures chemicals, adhesives, coatings, lubricants, cleaning compounds, or process chemicals","Adhesive manufacturers, industrial chemical companies, paint/coating manufacturers, lubricant companies, cleaning product manufacturers","NEW in V7. Must manufacture chemical products. If distributes chemicals → Industrial & Commercial Supplies. If cleaning service → S&T > Cleaning Services. Includes contract processors: powder coating, galvanizing, anodizing, heat treating, plating (customer owns material, business applies process). These stay in MWD — manufacturing ecosystem identity."
Manufacturing & Distribution,Consumer Products Manufacturing,Furniture & Fixtures,43,94,2.0%,1.1%,"Manufactures furniture, cabinetry, fixtures, custom closets, garage storage systems","Office furniture, kitchen cabinets, store fixtures, shelving, custom millwork, custom closets, garage cabinetry/storage (Garage Living), wine cellars, staircases/railings","V7: Absorbs ~32 accounts from dissolved Manufacturing & Installation. Classify here even if the manufacturer also installs — installation is a delivery mechanism, not a classification driver. Tag as business_model:make_and_install if they also do on-site installation."
Manufacturing & Distribution,Consumer Products Manufacturing,Apparel & Textiles Manufacturing,26,31,0.6%,0.7%,"Manufactures clothing, textiles, fabrics","Clothing mfg, fabric mills, upholstery mfg, uniforms, custom embroidery at scale",Small embroidery/print shops → Marketing & Creative Services > Printing & Graphics
Manufacturing & Distribution,Consumer Products Manufacturing,Artisan & Custom Manufacturing,109,52,1.1%,2.8%,Handcrafted or custom artisan goods where the craft/handmade nature IS the value proposition,"Cigars, ceramics, custom leather goods, bespoke jewelry, artisan candles, handcrafted instruments, picture frames, luxury handcraft","Small-batch, craft-focused. The product must be valued BECAUSE it is handmade/artisan. Commodity chemicals, industrial coatings, tire sealants → Chemical & Process Manufacturing. Industrial cleaning products → Chemical or Industrial. Carbonless paper → Packaging & Containers. Engraving/stamping/3D printing as a service → S&T or PBS > Printing & Graphics. Small company size alone does NOT make something artisan. SIGN SHOPS → Printing & Graphics."
Manufacturing & Distribution,Consumer Products Manufacturing,Home Improvement Products,17,48,1.0%,0.4%,"Manufactures home improvement and accessories products including window treatments, screens, awnings, and window film","Window treatments, lighting fixtures, bathroom accessories, decorative hardware, retractable screens, custom awnings, window film, motorized shades",V7: Absorbs ~18 accounts from dissolved Manufacturing & Installation. Classify here even if they also install — tag as business_model:make_and_install.
Manufacturing & Distribution,Food & Beverage Manufacturing,Food & Beverage Manufacturing,67,99,2.1%,1.7%,Produces food or beverage products for wholesale/retail distribution,"Bakeries (wholesale), breweries, food processors, bottling plants, spice companies",Production/manufacturing focus. Restaurants/cafes → Retail & Consumer
Manufacturing & Distribution,Medical & Life Sciences Manufacturing,Medical Device Manufacturing,40,49,1.0%,1.0%,"Manufactures medical or dental devices, surgical instruments","Surgical instruments, dental equipment, bioprocessing equipment, lab equipment",Must manufacture devices. Medical supply distributor → Medical & Pharmaceutical Distribution
Manufacturing & Distribution,Medical & Life Sciences Manufacturing,Pharmaceutical & Biotech Manufacturing,14,18,0.4%,0.4%,"Manufactures pharmaceuticals, biotech products, supplements","Drug manufacturing, biotech research products, nutraceuticals, compounding pharmacy",Compounding pharmacies that manufacture → here. Retail pharmacy → Retail & Consumer
Manufacturing & Distribution,Electronics & Technology Manufacturing,Electronics & Technology Manufacturing,59,72,1.5%,1.5%,"Manufactures electronic components, devices, or technology hardware","Circuit boards, sensors, LED lighting mfg, telecommunications equipment, AV equipment",Must manufacture hardware. IT consulting/software → Professional & Business Services. Resellers/distributors → Electronics & Technology Distribution
